n,k,count_time,aru_time,quick_time,merge_time,radix_time,count_space_bytes,aru_space_bytes
1000,1000,8.304E-5,1.0190666666666666E-4,8.414E-5,1.34E-4,1.5678E-4,12000,8248
1000,3162,3.786E-5,6.876E-5,5.024666666666667E-5,8.530666666666667E-5,5.375333333333333E-5,20648,8448
1000,10000,5.7346666666666664E-5,1.5233333333333334E-5,4.4353333333333334E-5,8.397333333333334E-5,4.9833333333333336E-5,48000,8800
1000,31622,2.4524E-4,2.3926666666666666E-5,4.796666666666667E-5,9.287333333333334E-5,1.0242666666666667E-4,134488,9416
1000,100000,4.192866666666667E-4,1.8726666666666668E-5,4.5793333333333334E-5,8.741333333333333E-5,7.906E-5,408000,10528
1000,316227,4.2966E-4,2.2506666666666666E-5,4.0826666666666667E-5,6.39E-5,9.871333333333334E-5,1272908,12496
1000,1000000,0.0012642066666666667,1.3946666666666666E-5,4.099333333333333E-5,6.912666666666667E-5,5.346E-5,4008000,16000
1000,3162277,0.0022273266666666667,1.2866666666666667E-5,4.324E-5,6.398E-5,3.944666666666667E-5,12657108,22224
1000,10000000,0.006269346666666667,1.18E-5,4.2426666666666665E-5,6.669333333333333E-5,3.1773333333333336E-5,40008000,33296
1000,31622776,0.01499624,1.5313333333333335E-5,4.2386666666666665E-5,6.272E-5,3.27E-5,126499104,52984
1000,100000000,0.03976182,1.9433333333333332E-5,4.512666666666667E-5,6.582666666666667E-5,3.418E-5,400008000,88000
1000,316227766,0.1413206934,2.8313333333333332E-5,4.4720066666666666E-5,6.466E-5,3.6080133333333334E-5,1264919064,150256
1000,1000000000,0.4607265868666667,4.9393333333333334E-5,4.534006666666667E-5,6.642E-5,3.66198E-5,4000008000,260976
5000,10000,1.9326666666666666E-5,3.509333333333333E-5,2.2166E-4,3.276733333333333E-4,8.527333333333333E-5,80000,40800
5000,31622,4.0526666666666666E-5,3.4966666666666665E-5,2.2748E-4,3.3065333333333335E-4,1.0956E-4,166488,41416
5000,100000,9.887333333333333E-5,3.7153333333333336E-5,2.2703333333333334E-4,3.346066666666667E-4,1.0750666666666667E-4,440000,42528
5000,316227,2.463333333333333E-4,3.452E-5,2.2687333333333334E-4,3.226666666666667E-4,1.241E-4,1304908,44496
5000,1000000,4.827666666666667E-4,3.346666666666667E-5,2.2342666666666668E-4,3.0751333333333336E-4,1.1648E-4,4040000,48000
5000,3162277,0.00122272,3.522E-5,2.2442666666666668E-4,3.109333333333333E-4,1.3624E-4,12689108,54224
5000,10000000,0.0038125466666666667,3.937333333333333E-5,2.2842666666666667E-4,3.1716666666666666E-4,1.4033333333333332E-4,40040000,65296
