n,k,count_time,aru_time,count_space_bytes,aru_space_bytes
5000,6812,2.4636E-4,3.072933333333333E-4,67248,40656
5000,9999,1.1895333333333333E-4,9.388E-5,79996,40792
5000,14677,1.1605333333333333E-4,8.871333333333334E-5,98708,40968
5000,21544,1.7594E-4,1.1487333333333333E-4,126176,41168
5000,31622,1.8728E-4,1.054E-4,166488,41416
5000,46415,1.7991333333333334E-4,9.966666666666667E-5,225660,41720
5000,68129,1.6469333333333334E-4,9.372666666666667E-5,312516,42088
5000,100000,1.0254E-4,1.2258666666666666E-4,440000,42528
5000,146779,1.1958E-4,8.453333333333333E-5,627116,43064
5000,215443,3.0916E-4,8.866666666666666E-5,901772,43712
5000,316227,5.434133333333333E-4,1.0940666666666667E-4,1304908,44496
5000,464158,5.8858E-4,5.6766666666666666E-5,1896632,45448
5000,681292,0.0010975866666666668,5.429333333333333E-5,2765168,46600
5000,1000000,0.0014968666666666667,5.1666666666666664E-5,4040000,48000
5000,1467799,0.0017563933333333333,5.334666666666667E-5,5911196,49688
5000,2154434,0.0016987133333333333,5.693333333333333E-5,8657736,51736
5000,3162277,0.0029481333333333335,5.68E-5,12689108,54224
5000,4641588,0.00368318,5.349333333333333E-5,18606352,57232
5000,6812920,0.005882153333333333,6.646666666666667E-5,27291680,60880
5000,10000000,0.007345913333333333,6.126666666666666E-5,40040000,65296
5000,14677992,0.010758873333333334,6.498E-5,58751968,70648
5000,21544346,0.014176746666666667,5.974666666666667E-5,86217384,77128
5000,31622776,0.019938773333333333,5.98E-5,126531104,84984
5000,46415888,0.030215053333333332,6.0826666666666665E-5,185703552,94496
5000,68129206,0.040074273333333334,6.79E-5,272556824,106032
38166,46415,1.7305333333333335E-4,4.102933333333333E-4,490988,307048
38166,68129,2.2386666666666667E-4,4.2429333333333333E-4,577844,307416
38166,100000,2.6333333333333336E-4,4.142866666666667E-4,705328,307856
38166,146779,3.1596E-4,4.1216E-4,892444,308392
38166,215443,4.2311333333333335E-4,4.076666666666667E-4,1167100,309040
38166,316227,3.6363333333333335E-4,4.112E-4,1570236,309824
38166,464158,5.624066666666666E-4,4.0665333333333336E-4,2161960,310776
38166,681292,6.581466666666667E-4,4.0875333333333336E-4,3030496,311928
38166,1000000,9.359466666666666E-4,4.081866666666667E-4,4305328,313328
38166,1467799,0.0013807466666666667,3.871E-4,6176524,315016
38166,2154434,0.0017567866666666667,3.9588E-4,8923064,317064
38166,3162277,0.00263918,3.903E-4,12954436,319552
38166,4641588,0.0033839133333333333,3.8814666666666666E-4,18871680,322560
38166,6812920,0.00446184,3.959666666666667E-4,27557008,326208
38166,10000000,0.006579493333333334,4.0058666666666667E-4,40305328,330624
38166,14677992,0.009183353333333333,3.897933333333333E-4,59017296,335976
38166,21544346,0.013285533333333334,4.034866666666667E-4,86482712,342456
38166,31622776,0.018844126666666666,4.0178666666666665E-4,126796432,350312
38166,46415888,0.027420646666666666,4.0408666666666665E-4,185968880,359824
38166,68129206,0.041499666666666664,4.0158E-4,272822152,371360
71332,100000,2.8730666666666667E-4,7.177133333333333E-4,970656,573184
71332,146779,3.3696E-4,7.265E-4,1157772,573720
71332,215443,3.7693333333333335E-4,7.209333333333334E-4,1432428,574368
71332,316227,5.035266666666667E-4,7.187866666666667E-4,1835564,575152
71332,464158,6.229066666666666E-4,7.150466666666666E-4,2427288,576104
71332,681292,8.081333333333333E-4,7.654266666666667E-4,3295824,577256
71332,1000000,0.0011605066666666667,7.6054E-4,4570656,578656
71332,1467799,0.0017291466666666667,7.4836E-4,6441852,580344
71332,2154434,0.002465286666666667,7.619866666666666E-4,9188392,582392
71332,3162277,0.002767973333333333,7.416266666666666E-4,13219764,584880
71332,4641588,0.003653753333333333,7.720333333333334E-4,19137008,587888
71332,6812920,0.005237346666666667,7.2872E-4,27822336,591536
71332,10000000,0.0068339333333333335,7.234733333333334E-4,40570656,595952
71332,14677992,0.010006126666666667,7.8784E-4,59282624,601304
71332,21544346,0.01429584,7.473933333333333E-4,86748040,607784
71332,31622776,0.019561773333333334,7.514933333333334E-4,127061760,615640
71332,46415888,0.02782228,7.281933333333333E-4,186234208,625152
71332,68129206,0.041735513333333335,7.5088E-4,273087480,636688
104498,146779,4.3100666666666664E-4,0.0010683066666666667,1423100,839048
104498,215443,5.2454E-4,0.0010822666666666667,1697756,839696
104498,316227,6.3904E-4,0.0010665,2100892,840480
104498,464158,9.059466666666667E-4,0.00108164,2692616,841432
104498,681292,9.144066666666666E-4,0.0010688,3561152,842584
104498,1000000,0.0015804066666666667,0.0011820333333333332,4835984,843984
104498,1467799,0.00209364,0.0010889933333333333,6707180,845672
104498,2154434,0.002389473333333333,0.0010562866666666666,9453720,847720
104498,3162277,0.0031191933333333333,0.0010646533333333334,13485092,850208
104498,4641588,0.004641053333333333,0.00107774,19402336,853216
104498,6812920,0.0054860333333333336,0.00108798,28087664,856864
104498,10000000,0.00789876,0.00107436,40835984,861280
104498,14677992,0.010431726666666667,0.0010827533333333333,59547952,866632
104498,21544346,0.014488606666666667,0.00107486,87013368,873112
104498,31622776,0.020591786666666667,0.00113852,127327088,880968
104498,46415888,0.028901893333333335,0.0010984266666666668,186499536,890480
104498,68129206,0.04192704666666667,0.00109958,273352808,902016
137664,146779,5.420933333333334E-4,0.0014118333333333333,1688428,1104376
137664,215443,6.447266666666666E-4,0.0013993533333333333,1963084,1105024
137664,316227,7.492733333333333E-4,0.00139726,2366220,1105808
137664,464158,9.970066666666667E-4,0.0013879133333333333,2957944,1106760
137664,681292,0.0012658666666666666,0.0015291333333333334,3826480,1107912
137664,1000000,0.0016918933333333332,0.00148394,5101312,1109312
137664,1467799,0.0024545933333333333,0.00146696,6972508,1111000
137664,2154434,0.0026393933333333335,0.00140422,9719048,1113048
137664,3162277,0.003697946666666667,0.00148486,13750420,1115536
137664,4641588,0.004638093333333333,0.0014236533333333334,19667664,1118544
137664,6812920,0.006230633333333333,0.0015273466666666667,28352992,1122192
137664,10000000,0.008208946666666666,0.0014059266666666666,41101312,1126608
137664,14677992,0.011178833333333334,0.0014092266666666667,59813280,1131960
137664,21544346,0.014940833333333334,0.0014684066666666668,87278696,1138440
137664,31622776,0.020958166666666667,0.00143432,127592416,1146296
137664,46415888,0.029819326666666666,0.0014624533333333334,186764864,1155808
137664,68129206,0.042258793333333336,0.0014320733333333332,273618136,1167344
170830,215443,7.702266666666667E-4,0.0017747466666666668,2228412,1370352
170830,316227,9.7842E-4,0.0017822333333333334,2631548,1371136
170830,464158,0.0012062333333333333,0.0017216533333333332,3223272,1372088
170830,681292,0.0012575866666666667,0.0018401333333333332,4091808,1373240
170830,1000000,0.0018471733333333333,0.0017818466666666667,5366640,1374640
170830,1467799,0.0024071933333333333,0.00186534,7237836,1376328
170830,2154434,0.003098706666666667,0.00187918,9984376,1378376
170830,3162277,0.004076573333333333,0.00174866,14015748,1380864
170830,4641588,0.00507686,0.0017622533333333332,19932992,1383872
170830,6812920,0.006717433333333333,0.00174578,28618320,1387520
170830,10000000,0.00878328,0.0018723666666666666,41366640,1391936
170830,14677992,0.011797133333333333,0.0018166,60078608,1397288
170830,21544346,0.01568808,0.0017763466666666666,87544024,1403768
170830,31622776,0.023113613333333335,0.0020019666666666667,127857744,1411624
170830,46415888,0.030010726666666668,0.0018040066666666667,187030192,1421136
