4,5.2E-6,9.8E-6
4,3.1E-6,6.2E-6
4,1.3E-6,2.4E-6
4,1.1E-6,2.3E-6
4,1.4E-6,2.6E-6
4,1.4E-6,2.8E-6
4,1.2E-6,2.3E-6
4,9.0E-7,1.7E-6
4,1.2E-6,2.3E-6
4,1.2E-6,2.6E-6
4,1.0E-6,1.7E-6
4,9.0E-7,1.6E-6
4,1.1E-6,2.8E-6
4,1.0E-6,1.8E-6
4,1.1E-6,1.7E-6
4,1.1E-6,2.5E-6
4,1.1E-6,2.3E-6
4,1.4E-6,2.9E-6
4,1.4E-6,2.4E-6
4,1.2E-6,2.9E-6
4,1.3E-6,2.3E-6
4,1.2E-6,2.3E-6
4,1.4E-6,2.7E-6
4,1.0E-6,1.8E-6
4,1.5E-6,1.7E-6
4,1.0E-6,1.8E-6
4,9.0E-7,1.7E-6
4,8.0E-7,1.4E-6
4,1.3E-6,1.4E-6
4,9.0E-7,1.5E-6
8,1.2E-6,2.6E-6
8,1.8E-6,2.6E-6
8,1.7E-6,3.2E-6
8,2.6E-6,7.6E-6
8,2.5E-6,6.6E-6
8,2.1E-6,3.3E-6
8,2.1E-6,3.4E-6
8,1.5E-6,2.4E-6
8,1.8E-6,3.0E-6
8,1.7E-6,2.9E-6
8,1.7E-6,2.9E-6
8,1.7E-6,3.3E-6
8,3.3E-6,2.9E-6
8,1.8E-6,3.1E-6
8,1.6E-6,3.1E-6
8,1.9E-6,3.1E-6
8,2.2E-6,3.9E-6
8,2.0E-6,3.5E-6
8,1.9E-6,3.5E-6
8,4.4E-6,5.7E-6
8,1.8E-6,3.0E-6
8,1.8E-6,3.1E-6
8,1.7E-6,6.2E-6
8,3.5E-6,2.6E-6
8,1.6E-6,3.0E-6
8,1.6E-6,2.8E-6
8,1.6E-6,2.6E-6
8,1.7E-6,3.0E-6
8,1.7E-6,3.1E-6
8,1.5E-6,2.9E-6
16,2.7E-6,4.0E-6
16,2.6E-6,4.3E-6
16,2.8E-6,4.0E-6
16,2.6E-6,3.8E-6
16,3.2E-6,5.9E-6
16,3.0E-6,4.5E-6
16,2.8E-6,4.2E-6
16,2.6E-6,3.5E-6
16,2.1E-6,3.5E-6
16,3.3E-6,4.6E-6
16,2.6E-6,3.9E-6
16,3.5E-6,3.7E-6
16,2.4E-6,3.5E-6
16,3.2E-6,5.4E-6
16,2.8E-6,4.3E-6
16,2.8E-6,7.4E-6
16,3.0E-6,4.4E-6
16,2.6E-6,3.5E-6
16,2.6E-6,3.5E-6
16,2.1E-6,3.2E-6
16,2.1E-6,3.3E-6
16,2.7E-6,4.9E-6
16,2.7E-6,4.4E-6
16,1.9E-6,3.2E-6
16,2.0E-6,2.9E-6
16,1.9E-6,2.9E-6
16,1.8E-6,2.8E-6
16,2.0E-6,2.9E-6
16,3.5E-6,3.5E-6
16,2.1E-6,2.9E-6
32,3.4E-6,4.5E-6
32,3.4E-6,4.4E-6
32,3.8E-6,6.4E-6
32,4.1E-6,5.3E-6
32,4.4E-6,5.9E-6
32,4.1E-6,6.2E-6
32,6.0E-6,7.3E-6
32,6.6E-6,6.9E-6
32,4.6E-6,6.5E-6
32,5.1E-6,6.9E-6
32,1.16E-5,1.22E-5
32,3.6E-6,4.8E-6
32,3.3E-6,2.83E-5
32,4.8E-6,6.7E-6
32,4.6E-6,6.3E-6
32,1.59E-5,6.6E-6
32,5.0E-6,6.6E-6
32,4.9E-6,5.9E-6
32,4.5E-6,6.0E-6
32,4.7E-6,6.2E-6
32,3.8E-6,5.9E-6
32,4.0E-6,1.16E-5
32,9.0E-7,1.4E-6
32,7.0E-7,1.2E-6
32,6.0E-7,1.0E-6
32,8.0E-7,2.1E-6
32,7.0E-7,1.1E-6
32,6.0E-7,1.0E-6
32,8.0E-7,1.3E-6
32,7.0E-7,1.1E-6
64,1.0E-6,1.6E-6
64,1.4E-6,1.9E-6
64,1.2E-6,1.5E-6
64,1.1E-6,1.9E-6
64,1.2E-6,1.9E-6
64,1.1E-6,1.7E-6
64,1.6E-6,5.5E-6
64,1.9E-6,2.8E-6
64,1.4E-6,2.2E-6
64,1.6E-6,3.2E-6
64,1.3E-6,2.2E-6
64,1.2E-6,1.7E-6
64,1.4E-6,1.7E-6
64,1.1E-6,1.9E-6
64,1.1E-6,1.7E-6
64,1.2E-6,1.6E-6
64,1.0E-6,1.4E-6
64,1.1E-6,1.7E-6
64,1.1E-6,1.6E-6
64,1.2E-6,4.1E-6
64,1.1E-6,1.8E-6
64,1.1E-6,1.7E-6
64,1.1E-6,1.8E-6
64,1.3E-6,1.6E-6
64,1.2E-6,1.7E-6
64,1.9E-6,1.5E-6
64,1.1E-6,1.9E-6
64,9.0E-7,1.6E-6
64,1.0E-6,1.8E-6
